student_id,first_name,last_name,school,grade,frl_status,ell_flag,sped_flag,dob
200000,Sophia,Garcia ,pinecrest,10,Paid,0,0,2017-02-04
200001,Noah,Wilson,Sunset,K,Unknown,1,0,2010-11-28
200002,Amelia,Thomas,Riverview,6.0,Free/Reduced,0,0,2015-03-10
200003,Charlotte,Martin,Altura,9,Free/Reduced,1,0,2017-05-27
200004,Mia,Lopez,Altura,1,Unknown,1,0,2015-05-26
200005,Isabella,Martinez,Mosley,4,Paid,0,0,2007-10-05
200006,Benjamin,Smith,Mosley,9,Free/Reduced,0,0,2011-10-10
200007,Charlotte,Johnson,Sunset,hs-senior,Paid,0,1,2018-01-24
200008,Amelia,Anderson,Pinecrest,11,Paid,0,0,2008-09-14
200009,James,Anderson,Mosley,2,Free/Reduced,0,0,2015-01-17
200010,Elijah,Taylor,Mosley,10,Paid,0,1,2016-02-25
200011,Sophia,Anderson,Sunset,5,Free/Reduced,0,0,2015-02-22
200012,Elijah,Davis,Pinecrest,7,Free/Reduced,0,0,2009-01-15
200013,Charlotte,Martin,Riverview,8,Free/Reduced,0,0,2010-01-11
200014,Sophia,Smith,Mosley,7,Paid,0,0,2016-07-17
200015,James,Garcia,Pinecrest,8,Paid,1,0,2012-01-15
200016,Lucas,Martinez,Pinecrest,11,Free/Reduced,1,0,2011-11-08
200017,Sophia,Moore,Riverview,hs-senior,Free/Reduced,0,0,2011-03-06
200018,Sophia,Davis,Riverview,6.0,Free/Reduced,0,0,2013-02-19
200019,Mateo,Davis,Mosley,8,Free/Reduced,0,0,2011-03-15
200020,Benjamin,Lopez,Riverview,5,Free/Reduced,0,0,2010-01-02
200021,Emma,Smith,Sunset,9,Free/Reduced,0,0,2017-04-11
200022,Mateo,Wilson,Mosley,10,Free/Reduced,0,0,2012-12-13
200023,Charlotte,Smith,Altura,7,Paid,1,0,2011-06-01
200024,Mia,Brown,Mosley,1,Unknown,0,0,2015-08-29
200025,Ava,Taylor,Mosley,1,Paid,1,0,2009-05-16
200026,Lucas,Garcia,Riverview,4,Free/Reduced,1,1,2018-11-12
200027,Sophia,Anderson,Mosley,10,Paid,1,0,2012-04-23
200028,Elijah,Garcia,Altura,2,Paid,0,0,2014-09-01
200029,Lucas,Brown,Pinecrest,4,Free/Reduced,0,0,2010-04-14
200030,Lucas,Garcia,Sunset,3,Free/Reduced,0,0,2011-01-01
200031,Ava,Smith,riverview,7,Paid,0,0,2017-01-27
200032,Mia,Davis,Pinecrest,6.0,Free/Reduced,0,0,2016-01-24
200033,James,Brown,Sunset,10,Free/Reduced,1,0,2010-08-05
200034,Emma,Davis,Riverview,K,Paid,0,1,2016-05-06
200035,Amelia,Smith,Altura,5,Free/Reduced,0,0,2013-04-27
200036,Lucas,Thomas,Pinecrest,9,Paid,0,0,2015-08-11
200037,Sophia,Johnson,Mosley,4,Free/Reduced,1,0,2019-07-21
200038,Sophia,Jackson,Mosley,6.0,Free/Reduced,0,0,2015-09-29
200039,Lucas,Garcia,Pinecrest,9,Paid,0,1,2010-11-10
200040,Amelia,Johnson,Altura,8,Free/Reduced,0,0,2010-10-23
200041,Olivia,Thomas,Pinecrest,4,Free/Reduced,0,0,2014-12-13
200042,Ava,Wilson,Sunset,3,Paid,0,0,2019-01-03
200043,Mia,Lopez,Altura,2,Unknown,0,0,2007-12-29
200044,Charlotte,Brown,Riverview,1,Free/Reduced,1,0,2012-12-14
200045,Emma,Smith,Altura,2,Free/Reduced,0,0,2016-10-26
200046,James,Lopez,Sunset,6.0,Paid,0,0,2017-04-07
200047,Emma,Davis ,Altura,1,Free/Reduced,0,0,2016-01-16
200048,Emma,Moore,Altura,10,Paid,0,0,2013-05-02
200049,Isabella,Thomas,Pinecrest,11,Free/Reduced,0,1,2012-02-18
200050,Ava,Wilson,Sunset,2,Free/Reduced,0,0,2010-02-12
200051,Mateo,Garcia,Sunset,6.0,Paid,0,0,2018-05-19
200052,Mateo,Moore,Mosley,3,Free/Reduced,0,0,2015-04-06
200053,Ava,Thomas,Mosley,11,Free/Reduced,1,0,2016-08-11
200054,Isabella,Martinez,Mosley,hs-senior,Free/Reduced,0,1,2009-07-07
200055,Isabella,Martinez,Sunset,11,Unknown,0,0,2013-07-14
200056,Elijah,Lopez,Pinecrest,11,Free/Reduced,0,0,2018-06-27
200057,Benjamin,Garcia,Pinecrest,5,Paid,0,0,2019-02-01
200058,Lucas,Lopez,Pinecrest,9,Free/Reduced,0,0,2016-04-06
200059,Mia,Moore,Mosley,9,Paid,0,0,2013-07-27
200060,Emma,Thomas,Pinecrest,hs-senior,Free/Reduced,0,0,2010-04-11
200061,Amelia,Smith,Altura,1,Paid,0,0,2015-01-03
200062,Liam,Martinez,riverview,3,Paid,1,1,2012-04-07
200063,Charlotte,Lopez,Pinecrest,10,Free/Reduced,0,0,2013-09-23
200064,Mateo,Thomas,Pinecrest,1,Free/Reduced,0,0,2010-08-17
200065,Noah,Moore,Sunset,11,Paid,0,0,2009-01-17
200066,Charlotte,Moore,Mosley,11,Free/Reduced,1,0,2012-09-26
200067,Charlotte,Martinez,Altura,hs-senior,Paid,0,0,2017-04-13
200068,Liam,Anderson,Mosley,4,Unknown,0,0,2008-12-14
200069,Lucas,Taylor,Mosley,hs-senior,Paid,0,0,2010-10-20
200070,Amelia,Garcia,Riverview,5,Paid,0,1,2018-01-01
200071,Mateo,Davis,Altura,4,Free/Reduced,0,0,2015-10-05
200072,Benjamin,Brown,Pinecrest,hs-senior,Paid,0,0,2015-07-12
200073,Benjamin,Johnson,Riverview,2,Free/Reduced,0,0,2019-01-19
200074,Lucas,Davis,Pinecrest,8,Free/Reduced,0,0,2008-10-09
200075,Sophia,Davis,Sunset,8,Paid,1,0,2017-08-15
200076,Emma,Thomas,Pinecrest,4,Free/Reduced,0,1,2009-08-17
200077,Noah,Martin,Pinecrest,10,Free/Reduced,0,0,2008-05-07
200078,Liam,Davis,Sunset,8,Paid,0,0,2012-09-22
200079,Ava,Lopez,Sunset,9,Paid,0,0,2011-04-22
200080,Liam,Johnson,Riverview,6.0,Paid,0,0,2011-05-21
200081,Amelia,Martin,Sunset,11,Unknown,0,1,2015-06-03
200082,Amelia,Garcia,Riverview,hs-senior,Free/Reduced,0,0,2018-02-18
200083,Mateo,Brown,Riverview,7,Paid,0,0,2010-02-16
200084,Elijah,Garcia,Mosley,11,Free/Reduced,0,0,2016-03-19
200085,Mia,Martinez,Altura,4,Free/Reduced,0,0,2009-02-05
200086,Isabella,Martin,Riverview,7,Paid,0,0,2013-11-09
200087,Charlotte,Wilson,Pinecrest,hs-senior,Free/Reduced,0,0,2011-02-28
200088,Noah,Wilson,Riverview,9,Free/Reduced,0,0,2012-03-04
200089,Sophia,Martin,Sunset,K,Paid,0,0,2013-05-07
200090,Isabella,Lopez,Mosley,3,Free/Reduced,0,1,2016-08-27
200091,Lucas,Garcia,Riverview,9,Free/Reduced,0,0,2018-08-21
200092,Ava,Moore,Altura,4,Free/Reduced,0,0,2013-01-27
200093,Mateo,Jackson,mosley,hs-senior,Free/Reduced,0,0,2014-09-07
200094,Benjamin,Taylor ,Altura,11,Free/Reduced,1,0,2014-10-04
